,tensor,cid
585,"[[0.0, 0.0, 0.0, 0.0, -0.019368795678019524, 0.0, 0.0, 0.0, -0.019368795678019524, 0.0, 0.0, 0.0, 0.0, -0.009684397839009762, 0.0, -0.009684397839009762]]",1147-0e117c1684b5ebd6093fc17b468455d1
586,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.186579704284668]]",1315-0e117c1684b5ebd6093fc17b468455d1
587,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0028209718875586987, 0.0, 0.0, 0.0, 0.0, -0.0014104859437793493, 0.0, -0.0014104859437793493]]",1231-6c0300c09cfa4e3e433ac2351fdd1116
588,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1385-None
589,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1492-b769b7c4664af95672dabb38a2d2589e
590,"[[-232.69430541992188, -107.11325073242188, -120.41006469726562, -113.39230346679688, -71.65506744384766, -91.60029602050781, -76.82605743408203, -59.83567810058594, -85.69059753417969, -72.76313781738281, -65.37601470947266, -86.0599594116211, -49.493709564208984, -75.3486328125, -64.26795196533203, -40.62916564941406]]",668-ff0ad3b6b2c6b4ead7e211741c3e6079
591,"[[-19956.560546875, -19970.984375, -995.3037109375, -937.6049194335938, -1074.6395263671875, -1550.654296875, -1471.3184814453125, -1651.627197265625, -1312.6468505859375, -1673.26416015625, -1348.7086181640625, -1341.496337890625, -1298.22216796875, -988.0913696289062, -793.3580322265625, -302.91851806640625]]",655-b0d744cb2e26331eb8ed510995949791
592,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",592-bf2b729332ba6c513c7e529a879fbb7a
593,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1273-89b7fffd8b0ee20aa30976e16d5030b2
594,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1584-ae9eedb427f5b2235befd37366fc09d7
595,"[[3.4831185340881348, 1.4012545347213745, 1.6815054416656494, 2.0017921924591064, 1.4012545347213745, 1.1610394716262817, 1.0809677839279175, 0.7206451892852783, 1.241111159324646, 1.3211828470230103, 1.0409319400787354, 1.3612186908721924, 0.6405735015869141, 1.841648817062378, 0.9608602523803711, 0.6806093454360962]]",668-b769b7c4664af95672dabb38a2d2589e
596,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1793-a8ec907a5ac10f3960aabf52e1f65f1c
597,"[[0.0, -0.04873458668589592, 0.0, 0.0, 0.0, -0.04873458668589592, -0.09746917337179184, -0.04873458668589592, 0.0, -0.14620375633239746, -0.09746917337179184, -0.2436729371547699, 0.0, 0.0, 0.0, -0.04873458668589592]]",1222-61e929f953da686a11f1ecb80937d508
598,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011075565591454506, 0.0, 0.0, 0.0, -0.011075565591454506]]",1101-945aba0d61c82ce0703573f9a8cb7028
599,"[[0.0, 0.0, 0.008566155098378658, 0.017132310196757317, 0.08566155284643173, 0.008566155098378658, 0.03426462039351463, 0.05996308475732803, 0.008566155098378658, 0.008566155098378658, 0.017132310196757317, 0.008566155098378658, 0.008566155098378658, 0.042830776423215866, 0.017132310196757317, 0.008566155098378658]]",1183-bf2b729332ba6c513c7e529a879fbb7a
600,"[[-0.5458056926727295, -0.3274834156036377, -0.1091611385345459, -0.2183222770690918, -0.16374170780181885, -0.1091611385345459, -0.4366445541381836, -0.27290284633636475, -0.4366445541381836, -0.16374170780181885, -0.49122512340545654, -0.2183222770690918, -0.16374170780181885, -0.16374170780181885, -1.091611385345459, -0.2183222770690918]]",1204-b769b7c4664af95672dabb38a2d2589e
601,"[[-0.09381070733070374, -0.4690535366535187, -0.37524282932281494, -0.6566749811172485, -0.8442963361740112, -0.6566749811172485, -0.8442963361740112, -0.6566749811172485, -1.313349962234497, -0.7504856586456299, -1.313349962234497, -0.9381070733070374, -0.8442963361740112, -0.2814321219921112, -1.1257284879684448, -0.6566749811172485]]",655-40707f1a2c89cf380dfcc9f35187801f
602,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1460-945aba0d61c82ce0703573f9a8cb7028
603,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.27473580837249756, -0.10302592813968658]]",673-0e117c1684b5ebd6093fc17b468455d1
604,"[[-0.15209433436393738, -0.9886131882667542, -0.30418866872787476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",856-0e117c1684b5ebd6093fc17b468455d1
605,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1692-None
606,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",946-40707f1a2c89cf380dfcc9f35187801f
607,"[[0.0, -0.0062093958258628845, -0.0062093958258628845, -0.0062093958258628845, -0.012418791651725769, -0.0062093958258628845, 0.0, -0.0062093958258628845, -0.0062093958258628845, -0.0062093958258628845, 0.0, -0.0062093958258628845, -0.0062093958258628845, 0.0, 0.0, -0.012418791651725769]]",959-e98eb8caab7a81258e290f20d4557d9f
608,"[[-0.8537629246711731, -0.11383505910634995, -0.3984227180480957, -0.4553402364253998, -0.5691753029823303, -0.5691753029823303, -0.17075258493423462, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05691752955317497, 0.0, -0.05691752955317497, -0.05691752955317497]]",1791-0af607c2fa9f1ba55a2f31b9f4799d25
609,"[[-0.0063718571327626705, -0.03185928612947464, -0.019115570932626724, -0.0063718571327626705, 0.0, 0.0, -0.009557785466313362, -0.0063718571327626705, -0.0063718571327626705, 0.0, 0.0, -0.0063718571327626705, -0.009557785466313362, -0.0063718571327626705, 0.0, -0.0031859285663813353]]",1236-c019143b4225157db7126521e8138a80
610,"[[-0.04391802102327347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",720-945aba0d61c82ce0703573f9a8cb7028
611,"[[0.0, 0.0, 0.0, 0.0, -0.0040913838893175125, -0.0027275891043245792, -0.0013637945521622896, 0.0, -0.0027275891043245792, -0.0013637945521622896, 0.0, -0.0013637945521622896, 0.0, 0.0, 0.0, -0.0027275891043245792]]",1204-c019143b4225157db7126521e8138a80
612,"[[-0.9896049499511719, -1.781288981437683, -1.9792098999023438, -2.375051975250244, -3.166735887527466, -3.364656925201416, -1.3854469060897827, -0.9896049499511719, -0.3958419859409332, -0.593762993812561, -0.593762993812561, -0.3958419859409332, -0.1979209929704666, -0.1979209929704666, -0.593762993812561, -0.3958419859409332]]",None-a8ec907a5ac10f3960aabf52e1f65f1c
613,"[[-0.02781503275036812, -0.04172255098819733, -0.04172255098819733, 0.0, -0.02781503275036812, -0.02781503275036812, -0.01390751637518406, -0.01390751637518406, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01390751637518406, 0.0, -0.01390751637518406]]",1538-8c30f7084880dafa1075f78d20d66cde
614,"[[-0.12503255903720856, -0.037509769201278687, -0.02500651217997074, 0.0, -0.02500651217997074, -0.05001302435994148, -0.02500651217997074, 0.0, -0.02500651217997074, -0.06251627951860428, -0.037509769201278687, -0.02500651217997074, -0.037509769201278687, -0.01250325608998537, -0.037509769201278687, -0.01250325608998537]]",1060-ff0ad3b6b2c6b4ead7e211741c3e6079
615,"[[-0.1751219630241394, -0.11674797534942627, -0.058373987674713135, 0.0, -0.11674797534942627, -0.40861791372299194, -0.058373987674713135, -0.2918699383735657, -0.1751219630241394, -0.1751219630241394, -0.058373987674713135, -0.058373987674713135, -0.058373987674713135, -0.058373987674713135, -0.3502439260482788, -0.1751219630241394]]",1228-40707f1a2c89cf380dfcc9f35187801f
616,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1460-ae9eedb427f5b2235befd37366fc09d7
617,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035657770931720734, -0.035657770931720734, -0.035657770931720734, -0.041600730270147324, -0.023771846666932106, -0.0059429616667330265, -0.0059429616667330265, -0.011885923333466053]]",828-3953701085a61d85aa3495dcf7538988
618,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",655-a6ff91bca049d542a6c0e42e195e2beb
619,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1110-0e117c1684b5ebd6093fc17b468455d1
620,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007351122330874205, 0.0, 0.0, -0.007351122330874205]]",714-a8ec907a5ac10f3960aabf52e1f65f1c
621,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1782-None
622,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1987-109f87b3124b4aa25e9a49c3712b50da
623,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1141-bf2b729332ba6c513c7e529a879fbb7a
624,"[[-0.02033885009586811, -0.010169425047934055, -0.02033885009586811, 0.0, -0.010169425047934055, -0.02033885009586811, -0.010169425047934055, 0.0, 0.0, 0.0, 0.0, -0.010169425047934055, 0.0, 0.0, 0.0, -0.02033885009586811]]",1318-a31863de508e32f7083b20e47159a977
625,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1735849380493164]]",1645-0e117c1684b5ebd6093fc17b468455d1
626,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1589-c98f23c5f01e87429e00db4566cca238
627,"[[0.08725742995738983, 0.05817162245512009, 0.05817162245512009, 0.0, 0.029085811227560043, 0.029085811227560043, 0.08725742995738983, 0.029085811227560043, 0.05817162245512009, 0.11634324491024017, 0.05817162245512009, 0.14542905986309052, 0.20360067486763, 0.23268648982048035, 0.0, 0.05817162245512009]]",1231-e98eb8caab7a81258e290f20d4557d9f
628,"[[0.27801308035850525, 0.11120522767305374, 0.0, 0.0, 0.0, 0.05560261383652687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2232575416564941, 0.0, 0.05560261383652687]]",2005-7cff2e687e4d4557864a33ffbcb16738
629,"[[0.0, 0.0, 0.0, 0.0, 0.0, -0.0064622568897902966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0064622568897902966]]",1759-b769b7c4664af95672dabb38a2d2589e
630,"[[-0.03659234195947647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018296170979738235, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018296170979738235]]",1813-ae9eedb427f5b2235befd37366fc09d7
631,"[[-0.0070604803040623665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0070604803040623665, 0.0, 0.0, -0.0070604803040623665]]",684-0af607c2fa9f1ba55a2f31b9f4799d25
632,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1501-325c44502587cf000bcd62f0ad342d1c
633,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1466-a8ec907a5ac10f3960aabf52e1f65f1c
634,"[[0.0, 0.0, 0.0, -0.007376089692115784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007376089692115784]]",895-0e117c1684b5ebd6093fc17b468455d1
635,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007749614771455526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007749614771455526, 0.0, -0.007749614771455526]]",1746-0e117c1684b5ebd6093fc17b468455d1
636,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1082-d652fe8e03e91d2a282fe613952fea13
637,"[[0.016119563952088356, 0.04835869371891022, 0.06447825580835342, 0.016119563952088356, 0.0, 0.0, 0.016119563952088356, 0.03223912790417671, 0.016119563952088356, 0.0, 0.016119563952088356, 0.04835869371891022, 0.0, 0.04835869371891022, 0.0, 0.016119563952088356]]",1802-b769b7c4664af95672dabb38a2d2589e
638,"[[-3.5316989421844482, -7.946322441101074, -12.066637992858887, -0.8829247355461121, -1.471541166305542, -1.7658494710922241, -0.5886164903640747, -0.8829247355461121, -1.7658494710922241, -0.8829247355461121, -3.826007127761841, -2.943082332611084, -0.5886164903640747, -0.5886164903640747, -0.5886164903640747, -0.8829247355461121]]",904-c019143b4225157db7126521e8138a80
639,"[[-16.83393096923828, -0.9619388580322266, -16.35296058654785, -8.465062141418457, 0.0, 0.0, 0.0, -0.09619388729333878, -0.19238777458667755, -0.09619388729333878, 0.0, 0.0, 0.0, -0.09619388729333878, 0.0, -0.09619388729333878]]",None-c1b03be73e47efa50ba40eb48dde729a
640,"[[0.0, 0.0, -0.04535524174571037, 0.0, 0.0, -0.04535524174571037, -0.022677620872855186, 0.0, 0.0, -0.09071048349142075, 0.0, -0.022677620872855186, 0.0, -0.022677620872855186, 0.0, -0.022677620872855186]]",1693-7cff2e687e4d4557864a33ffbcb16738
641,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03277970850467682, 0.03277970850467682, 0.09833912551403046, 0.13111883401870728, 0.09833912551403046, 0.1638985425233841, 0.09833912551403046, 0.06555941700935364]]",900-183abbbe8fae350cc608984e93217b67
642,"[[0.0, 0.0, 0.0, -0.8776848316192627, 0.0, -0.5266109108924866, -2.22346830368042, 0.0, 0.0, -0.05851232260465622, 0.0, 0.0, 0.0, -0.11702464520931244, 0.0, -0.7606601715087891]]",1176-c98f23c5f01e87429e00db4566cca238
643,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1494-None
644,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",644-None
645,"[[-0.012628766708076, -0.012628766708076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012628766708076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1710-6e3448396e2ee63902a0af2aef147abd
646,"[[0.0, -0.013391832821071148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013391832821071148]]",1013-a8ec907a5ac10f3960aabf52e1f65f1c
647,"[[-255.65879821777344, -258.4078369140625, -233.66664123535156, -118.20783233642578, -2.7490193843841553, -797.2156372070312, -167.690185546875, 0.0, 0.0, 0.0, -13.745097160339355, -57.729408264160156, -13.745097160339355, 0.0, -2.7490193843841553, -2.7490193843841553]]",655-d8c97ab945dee7d9db1c1921149abdc6
648,"[[-0.19107455015182495, -0.06369151920080185, -0.1273830384016037, -0.5095321536064148, -0.5095321536064148, -0.3821491003036499, -0.7006067037582397, -0.06369151920080185, 0.0, 0.0, 0.0, -0.06369151920080185, -0.06369151920080185, 0.0, 0.0, -0.1273830384016037]]",1285-a8ec907a5ac10f3960aabf52e1f65f1c
649,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1285-a101623080cb3f4fa2cc6d58b1235320
650,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1540-0bd0bfa6a30999889fa2f08717dda756
651,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012664112262427807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012664112262427807]]",1578-c98f23c5f01e87429e00db4566cca238
652,"[[-0.01471409760415554, 0.0, 0.0, -0.04414229094982147, -0.07357048988342285, 0.0, -0.02942819520831108, -0.01471409760415554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01471409760415554]]",739-89b7fffd8b0ee20aa30976e16d5030b2
653,"[[-0.09221935272216797, -0.13832902908325195, -0.09221935272216797, -0.09221935272216797, 0.0, -0.046109676361083984, -0.13832902908325195, -0.18443870544433594, -0.5533161163330078, -0.6455354690551758, -0.09221935272216797, -0.13832902908325195, -0.046109676361083984, 0.0, -0.09221935272216797, -0.046109676361083984]]",1285-d8dd2ff322668978ef960e3b62718caf
654,"[[0.0, -0.0062614260241389275, 0.0, 0.0, 0.0, -0.0062614260241389275, -0.0062614260241389275, 0.0, -0.0062614260241389275, 0.0, 0.0, -0.0062614260241389275, 0.0, 0.0, 0.0, -0.0062614260241389275]]",1611-0af607c2fa9f1ba55a2f31b9f4799d25
655,"[[-0.7226026058197021, -5.539953231811523, -4.817350387573242, -6.50342321395874, -7.226025581359863, -0.9634701013565063, -0.4817350506782532, -0.4817350506782532, 0.0, -0.2408675253391266, -0.9634701013565063, -0.2408675253391266, -0.4817350506782532, -0.2408675253391266, -0.4817350506782532, -0.2408675253391266]]",828-a8ec907a5ac10f3960aabf52e1f65f1c
656,"[[0.0, 0.0, -0.007769640069454908, 0.0, 0.0, -0.007769640069454908, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011654459871351719]]",1572-3426d7dd6b951a03fef2668967d20ccd
657,"[[-0.13857680559158325, -0.13857680559158325, -0.18748626112937927, -0.15487995743751526, -0.18748626112937927, -0.15487995743751526, -0.11412207782268524, -0.14672838151454926, -0.08151576668024063, -0.08151576668024063, -0.06521261483430862, -0.21194100379943848, -0.17118310928344727, -0.22009257972240448, -0.17118310928344727, -0.06521261483430862]]",655-787bd389abd14555a6b2d9c9f1d20167
658,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1317-bf2b729332ba6c513c7e529a879fbb7a
659,"[[0.05951991304755211, 0.05951991304755211, 0.029759956523776054, 0.11903982609510422, 0.05951991304755211, 0.0, 0.05951991304755211, 0.08927986770868301, 0.029759956523776054, 0.05951991304755211, 0.17855973541736603, 0.029759956523776054, 0.029759956523776054, 0.14879977703094482, 0.0, 0.08927986770868301]]",934-bf2b729332ba6c513c7e529a879fbb7a
660,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038945168256759644, 0.38945168256759644, 0.38945168256759644]]",1618-109f87b3124b4aa25e9a49c3712b50da
661,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1811-None
662,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1611-109f87b3124b4aa25e9a49c3712b50da
663,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1245-b769b7c4664af95672dabb38a2d2589e
664,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3204035758972168, 0.3631240725517273, 0.25632286071777344, 0.021360239014029503, 0.021360239014029503, 0.12816143035888672, 0.0, 0.042720478028059006, 0.12816143035888672, 0.14952167868614197]]",828-c1e0462dce94ea50450c87258ca8be83
665,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",737-bc60740bd945df22b941326f4ee149a4
666,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1357-796e7270e5f0ef65d44fa90f5a5d0b87
667,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",662-e98eb8caab7a81258e290f20d4557d9f
668,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011075565591454506, 0.0, 0.0, 0.0, -0.011075565591454506]]",1282-None
669,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1317-0e117c1684b5ebd6093fc17b468455d1
670,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012976979836821556, -0.012976979836821556]]",1791-10d57cc9146a528e7b023b5aa6a5396d
671,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1742-a8ec907a5ac10f3960aabf52e1f65f1c
672,"[[0.0, 0.0, -0.01007543783634901, 0.0, 0.0, 0.0, 0.0, -0.01007543783634901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01007543783634901]]",1386-0e117c1684b5ebd6093fc17b468455d1
673,"[[0.0, 0.0, 0.0, -0.009086107835173607, 0.0, 0.0, 0.0, -0.009086107835173607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009086107835173607]]",1804-d652fe8e03e91d2a282fe613952fea13
674,"[[-0.01329099852591753, -0.02658199705183506, -0.01329099852591753, -0.02658199705183506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1619-945aba0d61c82ce0703573f9a8cb7028
675,"[[-0.005277601070702076, 0.0, 0.0, -0.005277601070702076, 0.0, 0.0, -0.010555202141404152, 0.0, -0.010555202141404152, -0.010555202141404152, -0.015832804143428802, 0.0, 0.0, -0.005277601070702076, 0.0, -0.005277601070702076]]",1418-ff0ad3b6b2c6b4ead7e211741c3e6079
676,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1690-945aba0d61c82ce0703573f9a8cb7028
677,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",653-8337b9cef94666f2dd2dde02a8292544
678,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",386-ff0ad3b6b2c6b4ead7e211741c3e6079
679,"[[-0.015342097729444504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015342097729444504, 0.0, 0.0, 0.0, 0.0]]",1141-0af607c2fa9f1ba55a2f31b9f4799d25
680,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1815-a8ec907a5ac10f3960aabf52e1f65f1c
681,"[[0.09731712937355042, 0.08109760284423828, 0.09731712937355042, 0.03243904188275337, 0.04865856468677521, 0.016219520941376686, 0.03243904188275337, 0.04865856468677521, 0.04865856468677521, 0.03243904188275337, 0.04865856468677521, 0.08109760284423828, 0.06487808376550674, 0.06487808376550674, 0.016219520941376686, 0.016219520941376686]]",1802-945aba0d61c82ce0703573f9a8cb7028
682,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1217-8c30f7084880dafa1075f78d20d66cde
683,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0003114779538009316, -0.0003114779538009316, -0.0003114779538009316, 0.0, 0.0, 0.0, -0.0003114779538009316, 0.0, 0.0, -0.0003114779538009316]]",1146-bc60740bd945df22b941326f4ee149a4
684,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1315-945aba0d61c82ce0703573f9a8cb7028
685,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1982-109f87b3124b4aa25e9a49c3712b50da
686,"[[-0.09433741867542267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1619-c98f23c5f01e87429e00db4566cca238
687,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1794-b769b7c4664af95672dabb38a2d2589e
688,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1210-8c30f7084880dafa1075f78d20d66cde
