仓库名称,原-0,原-1,原-2,原-3,原-4,原-5
0af607c2fa9f1ba55a2f31b9f4799d25,8.511045154,47.05570017,7.036792937,47.58001542,-25.226192,8.750516409
0e117c1684b5ebd6093fc17b468455d1,0.178585642,1.490034512,0.180468711,5.205377099,-0.519310286,-0.040069828
109f87b3124b4aa25e9a49c3712b50da,-2.385336565,11.72224216,-1.296835282,11.72486546,-12.35346019,-6.806781278
183abbbe8fae350cc608984e93217b67,8.170276432,100.4521777,10.57452683,98.12815719,6.388720325,-5.18916405
7cff2e687e4d4557864a33ffbcb16738,4.721304606,65.52009635,5.518632962,60.4575116,-8.707567084,7.367269501
89b7fffd8b0ee20aa30976e16d5030b2,-13.91568301,64.8540924,-0.222206533,61.19682154,-24.40399092,-15.47170922
8c30f7084880dafa1075f78d20d66cde,8.352925427,164.9214043,13.55211266,164.5126316,13.16963868,12.84005563
945aba0d61c82ce0703573f9a8cb7028,-0.954234373,15.51475389,-1.752762643,14.96245118,-5.811917329,-1.567763149
a8ec907a5ac10f3960aabf52e1f65f1c,0.155603,-28.53908542,0.466667722,-30.48122754,-11.72429022,0.302634662
ae9eedb427f5b2235befd37366fc09d7,-1.506657569,-2.781119595,0.627553534,-3.459889793,-6.669542689,2.247210049
b769b7c4664af95672dabb38a2d2589e,1.392110782,-41.79291813,0.961005833,-41.28295533,-1.510793435,0.492565258
bf2b729332ba6c513c7e529a879fbb7a,-1.449223395,-27.93762203,-1.326800356,-23.72090403,-4.51389213,-2.745195888
c1b03be73e47efa50ba40eb48dde729a,-60.93107411,400.0943092,-53.85673352,402.9122997,37.31964449,16.61360683
c98f23c5f01e87429e00db4566cca238,2.911705013,-54.25828875,2.791707896,-51.6239688,-16.07757011,-4.134990792
d8dd2ff322668978ef960e3b62718caf,0,696.7751271,0,708.2892293,0,0
ff0ad3b6b2c6b4ead7e211741c3e6079,-2.779095509,-25.68458419,-3.772976118,-20.95530153,-19.60925268,-0.886438778
