天数,销量
2020-10-08,22
2020-10-09,19
2020-10-10,4
2020-10-11,7
2020-10-12,6
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,8
2020-10-17,9
2020-10-18,51
2020-10-19,94
2020-10-20,41
2020-10-21,1
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,1
2020-10-26,1
2020-10-27,0
2020-10-28,0
2020-10-29,3
2020-10-30,7
2020-10-31,26
2020-11-01,19
2020-11-02,26
2020-11-03,21
2020-11-04,11
2020-11-05,10
2020-11-06,13
2020-11-07,8
2020-11-08,15
2020-11-09,11
2020-11-10,13
2020-11-11,0
2020-11-12,2
2020-11-13,1
2020-11-14,6
2020-11-15,7
2020-11-16,7
2020-11-17,12
2020-11-18,6
2020-11-19,6
2020-11-20,4
2020-11-21,4
2020-11-22,4
2020-11-23,15
2020-11-24,4
2020-11-25,5
2020-11-26,11
2020-11-27,11
2020-11-28,6
2020-11-29,7
2020-11-30,4
2020-12-01,10
2020-12-02,7
2020-12-03,9
2020-12-04,7
2020-12-05,9
2020-12-06,3
2020-12-07,6
2020-12-08,6
2020-12-09,4
2020-12-10,13
2020-12-11,16
2020-12-12,24
2020-12-13,8
2020-12-14,5
2020-12-15,6
2020-12-16,8
2020-12-17,2
2020-12-18,5
2020-12-19,9
2020-12-20,4
2020-12-21,2
2020-12-22,1
2020-12-23,11
2020-12-24,7
2020-12-25,6
2020-12-26,7
2020-12-27,19
