天数,销量
2020-05-25,1
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,1
2020-05-30,1
2020-05-31,3
2020-06-01,3
2020-06-02,2
2020-06-03,3
2020-06-04,1
2020-06-05,0
2020-06-06,1
2020-06-07,2
2020-06-08,2
2020-06-09,2
2020-06-10,5
2020-06-11,1
2020-06-12,5
2020-06-13,0
2020-06-14,3
2020-06-15,9
2020-06-16,12
2020-06-17,18
2020-06-18,41
2020-06-19,10
2020-06-20,20
2020-06-21,1
2020-06-22,3
2020-06-23,0
2020-06-24,1
2020-06-25,2
2020-06-26,2
2020-06-27,3
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-01,1
2020-07-02,3
2020-07-03,2
2020-07-04,0
2020-07-05,1
2020-07-06,0
2020-07-07,2
2020-07-08,2
2020-07-09,6
2020-07-10,5
2020-07-11,4
2020-07-12,2
2020-07-13,1
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,1
2020-07-18,0
2020-07-19,1
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,1
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,2
2020-08-04,1
2020-08-05,2
2020-08-06,2
2020-08-07,1
2020-08-08,2
2020-08-09,1
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,1
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-19,0
2020-08-20,3
2020-08-21,3
2020-08-22,1
2020-08-23,2
2020-08-24,2
2020-08-25,2
2020-08-26,2
2020-08-27,5
2020-08-28,4
2020-08-29,3
2020-08-30,3
2020-08-31,1
2020-09-01,2
2020-09-02,1
2020-09-03,1
2020-09-04,0
2020-09-05,2
2020-09-06,1
2020-09-07,3
2020-09-08,4
2020-09-09,2
2020-09-10,3
2020-09-11,4
2020-09-12,0
2020-09-13,2
2020-09-14,0
2020-09-15,2
2020-09-16,4
2020-09-17,4
2020-09-18,3
2020-09-19,3
2020-09-20,2
2020-09-21,10
2020-09-22,1
2020-09-23,4
